                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51867,                 2.2165,                0.91535,                0.00751,                      1,                0.31811,                0.22982,                0.56171,                 3.4909,                0.86269,                0.00052,                0.00052,                0.00052
                      2,                0.61772,                 1.3741,                0.93057,                      1,                0.09992,                0.94541,                0.82352,                0.53205,                 3.2704,                0.87294,               0.001039,               0.001039,               0.001039
                      3,                0.66231,                 1.3522,                0.95885,                0.76588,                   0.65,                0.86358,                0.65224,                0.64175,                 3.0212,                0.93188,              0.0015366,              0.0015366,              0.0015366
                      4,                0.62695,                 1.2409,                0.93716,                 0.1807,                    0.5,                0.20348,                0.18976,                0.50242,                 3.6728,                0.87957,              0.0018812,              0.0018812,              0.0018812
                      5,                0.64854,                 1.0811,                0.96339,                0.96735,                      1,                  0.995,                0.91034,                0.51465,                 1.7762,                 0.8859,              0.0018812,              0.0018812,              0.0018812
                      6,                0.63545,                 1.0568,                0.95401,                0.98832,                      1,                  0.995,                0.88495,                0.48773,                 1.8508,                0.88757,              0.0018416,              0.0018416,              0.0018416
                      7,                 0.6324,                0.96643,                 0.9363,                0.65272,                    0.7,                0.66149,                0.59061,                0.48942,                  2.593,                0.87071,               0.001802,               0.001802,               0.001802
                      8,                0.60833,                0.92504,                0.95802,                0.94689,                      1,                  0.995,                0.91618,                0.49849,                0.93298,                0.87101,              0.0017624,              0.0017624,              0.0017624
                      9,                0.56741,                0.85564,                0.91891,                0.94927,                0.93604,                0.98598,                0.89868,                0.45775,                 1.1243,                0.85214,              0.0017228,              0.0017228,              0.0017228
                     10,                0.53159,                 0.7423,                0.91912,                 0.9842,                      1,                  0.995,                 0.9031,                0.42832,                0.78648,                0.85484,              0.0016832,              0.0016832,              0.0016832
                     11,                0.52865,                0.68381,                0.90516,                0.99053,                      1,                  0.995,                0.92192,                0.45996,                0.68438,                0.85297,              0.0016436,              0.0016436,              0.0016436
                     12,                0.53262,                0.72838,                0.91412,                0.97833,                      1,                  0.995,                0.90364,                0.48486,                0.66818,                0.86094,               0.001604,               0.001604,               0.001604
                     13,                0.52181,                0.66909,                 0.9135,                0.99356,                      1,                  0.995,                0.94581,                0.43339,                0.57546,                0.84535,              0.0015644,              0.0015644,              0.0015644
                     14,                0.49784,                0.59986,                0.90499,                0.99455,                      1,                  0.995,                0.92693,                0.41699,                0.57504,                0.83728,              0.0015248,              0.0015248,              0.0015248
                     15,                0.52342,                0.62324,                 0.8945,                0.99123,                      1,                  0.995,                0.91741,                0.48094,                0.63194,                0.86196,              0.0014852,              0.0014852,              0.0014852
                     16,                0.52268,                0.61894,                0.92265,                0.98963,                      1,                  0.995,                0.92715,                0.42453,                0.53144,                0.83695,              0.0014456,              0.0014456,              0.0014456
                     17,                0.48263,                0.57733,                0.88456,                0.99656,                      1,                  0.995,                0.92897,                0.43805,                0.55289,                0.83672,               0.001406,               0.001406,               0.001406
                     18,                0.46512,                0.54038,                0.88042,                0.99563,                      1,                  0.995,                0.91399,                  0.469,                0.49747,                0.85348,              0.0013664,              0.0013664,              0.0013664
                     19,                0.50022,                0.52528,                0.88267,                  0.989,                      1,                  0.995,                0.90745,                0.42648,                0.51443,                 0.8411,              0.0013268,              0.0013268,              0.0013268
                     20,                0.48747,                  0.505,                0.90965,                0.99003,                      1,                  0.995,                0.92163,                0.39603,                0.44756,                0.83331,              0.0012872,              0.0012872,              0.0012872
                     21,                0.47675,                0.49464,                0.90724,                0.99667,                      1,                  0.995,                0.94381,                0.40069,                0.43178,                0.83149,              0.0012476,              0.0012476,              0.0012476
                     22,                0.46781,                0.51031,                0.91365,                 0.9958,                      1,                  0.995,                0.92524,                0.43506,                0.46517,                0.83617,               0.001208,               0.001208,               0.001208
                     23,                 0.4682,                0.49553,                0.89392,                0.99212,                      1,                  0.995,                0.92459,                0.43295,                0.44881,                0.83921,              0.0011684,              0.0011684,              0.0011684
                     24,                0.46141,                 0.4776,                0.88199,                0.99163,                      1,                  0.995,                0.90869,                0.48213,                0.44956,                0.85274,              0.0011288,              0.0011288,              0.0011288
                     25,                0.44002,                0.45139,                0.86773,                0.99665,                      1,                  0.995,                0.91979,                0.42971,                0.41539,                0.84634,              0.0010892,              0.0010892,              0.0010892
                     26,                0.43353,                0.45333,                0.87601,                0.99544,                      1,                  0.995,                0.91841,                0.43838,                0.42018,                0.84179,              0.0010496,              0.0010496,              0.0010496
                     27,                0.43915,                0.43327,                0.88534,                0.99515,                      1,                  0.995,                0.94543,                0.40994,                 0.3711,                0.83295,                0.00101,                0.00101,                0.00101
                     28,                0.44941,                0.44047,                 0.9008,                0.99212,                      1,                  0.995,                0.93617,                0.42633,                 0.3555,                0.83489,              0.0009704,              0.0009704,              0.0009704
                     29,                0.42462,                0.40873,                0.87386,                0.99465,                      1,                  0.995,                0.94886,                0.38018,                0.32741,                0.83294,              0.0009308,              0.0009308,              0.0009308
                     30,                0.42608,                0.40655,                0.88362,                0.99631,                      1,                  0.995,                0.94048,                0.39183,                0.35044,                0.83229,              0.0008912,              0.0008912,              0.0008912
                     31,                0.42058,                0.40049,                0.87474,                0.99692,                      1,                  0.995,                0.90883,                0.41954,                0.33699,                0.83208,              0.0008516,              0.0008516,              0.0008516
                     32,                0.37669,                0.42647,                0.82352,                0.99619,                      1,                  0.995,                0.95195,                0.33593,                0.30501,                0.81998,               0.000812,               0.000812,               0.000812
                     33,                0.40079,                0.38199,                0.86434,                0.99659,                      1,                  0.995,                0.92602,                0.38799,                0.30489,                0.82912,              0.0007724,              0.0007724,              0.0007724
                     34,                0.39039,                0.37084,                0.85561,                0.99696,                      1,                  0.995,                0.94507,                0.37471,                0.29877,                0.82842,              0.0007328,              0.0007328,              0.0007328
                     35,                0.38465,                 0.3599,                0.87707,                0.99683,                      1,                  0.995,                0.94514,                0.38487,                0.28853,                0.84075,              0.0006932,              0.0006932,              0.0006932
                     36,                0.37696,                0.35645,                0.87098,                0.99716,                      1,                  0.995,                0.94626,                0.38647,                0.28263,                0.83836,              0.0006536,              0.0006536,              0.0006536
                     37,                0.39205,                0.36343,                0.89045,                0.99705,                      1,                  0.995,                0.95497,                0.39913,                0.28501,                 0.8317,               0.000614,               0.000614,               0.000614
                     38,                0.37781,                0.35922,                0.87501,                0.99718,                      1,                  0.995,                0.94136,                0.39438,                0.29735,                0.82824,              0.0005744,              0.0005744,              0.0005744
                     39,                0.38819,                0.37251,                0.88917,                  0.997,                      1,                  0.995,                0.96751,                0.36991,                 0.2845,                0.82407,              0.0005348,              0.0005348,              0.0005348
                     40,                0.37954,                0.34108,                0.85275,                0.99721,                      1,                  0.995,                0.95476,                0.38209,                0.29272,                0.83342,              0.0004952,              0.0004952,              0.0004952
                     41,                0.32886,                0.31646,                0.81743,                0.99731,                      1,                  0.995,                0.95937,                0.37068,                0.28061,                0.83079,              0.0004556,              0.0004556,              0.0004556
                     42,                0.31358,                0.30773,                0.81097,                0.99737,                      1,                  0.995,                0.95557,                0.36866,                0.26655,                0.83209,               0.000416,               0.000416,               0.000416
