                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51867,                 2.2165,                0.91535,                0.00751,                      1,                0.31811,                0.22982,                0.56171,                 3.4909,                0.86269,                0.00052,                0.00052,                0.00052
                      2,                0.62083,                 1.3757,                0.93213,                      1,                0.11971,                0.94538,                0.84044,                 0.5208,                  3.255,                 0.8725,              0.0010495,              0.0010495,              0.0010495
                      3,                0.66087,                 1.3917,                0.96606,                0.25206,                0.28689,                 0.3292,                0.27743,                0.64871,                 3.4009,                0.94014,              0.0015683,              0.0015683,              0.0015683
                      4,                 0.6417,                 1.2749,                0.96379,                0.15788,                    0.7,                0.19557,                0.15991,                0.73233,                 2.8213,                0.97494,              0.0019406,              0.0019406,              0.0019406
                      5,                0.65125,                 1.1106,                0.96559,                0.80532,                    0.5,                0.67939,                0.57466,                0.59545,                 3.6175,                0.90977,              0.0019406,              0.0019406,              0.0019406
                      6,                0.63018,                 1.0533,                0.95396,                 0.9793,                      1,                  0.995,                 0.8778,                0.51395,                 1.4011,                 0.8731,              0.0019208,              0.0019208,              0.0019208
                      7,                 0.6475,                 0.9729,                0.95451,                0.25606,                    0.5,                  0.278,                  0.225,                0.79424,                 2.5055,                 1.0964,               0.001901,               0.001901,               0.001901
                      8,                0.62241,                0.93122,                0.96508,                0.98989,                      1,                  0.995,                0.87918,                0.51891,                0.94427,                0.87805,              0.0018812,              0.0018812,              0.0018812
                      9,                0.59119,                0.86006,                0.92206,                0.90048,                      1,                0.97795,                0.87975,                0.51363,                 1.2958,                0.86943,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.5506,                0.76557,                0.92456,                0.95072,                      1,                  0.995,                0.92177,                 0.4562,                0.76217,                0.86776,              0.0018416,              0.0018416,              0.0018416
                     11,                0.53316,                0.69354,                0.89608,                0.98331,                      1,                  0.995,                0.89439,                0.46667,                0.65723,                0.84831,              0.0018218,              0.0018218,              0.0018218
                     12,                0.58021,                0.72967,                0.91783,                0.98398,                      1,                  0.995,                0.89754,                0.52441,                0.66176,                 0.8719,               0.001802,               0.001802,               0.001802
                     13,                0.55284,                0.68747,                0.93027,                0.99184,                      1,                  0.995,                0.90073,                0.49682,                0.68159,                0.86336,              0.0017822,              0.0017822,              0.0017822
                     14,                0.50149,                0.60423,                 0.9095,                0.96456,                      1,                  0.995,                0.92306,                0.43156,                0.58953,                0.84384,              0.0017624,              0.0017624,              0.0017624
                     15,                0.53194,                 0.6207,                0.89455,                0.98095,                      1,                  0.995,                0.90962,                0.47744,                 0.6305,                0.85984,              0.0017426,              0.0017426,              0.0017426
                     16,                0.51757,                 0.6004,                0.92102,                0.99558,                      1,                  0.995,                0.92487,                0.43177,                0.52113,                0.84029,              0.0017228,              0.0017228,              0.0017228
                     17,                0.49363,                0.56583,                0.89416,                0.99643,                      1,                  0.995,                 0.9152,                0.45676,                0.52281,                0.84709,               0.001703,               0.001703,               0.001703
                     18,                0.46585,                0.53061,                0.88185,                0.99021,                      1,                  0.995,                0.91209,                0.43278,                0.46451,                0.84006,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.4955,                0.51361,                 0.8845,                0.98708,                      1,                  0.995,                0.92349,                0.41213,                 0.4737,                0.83749,              0.0016634,              0.0016634,              0.0016634
                     20,                0.51541,                0.50291,                0.91984,                0.99503,                      1,                  0.995,                0.92226,                0.47387,                0.45107,                0.84533,              0.0016436,              0.0016436,              0.0016436
                     21,                0.50643,                0.49167,                0.92047,                0.99369,                      1,                  0.995,                0.90619,                0.44701,                 0.4115,                0.84534,              0.0016238,              0.0016238,              0.0016238
                     22,                0.51249,                 0.5057,                0.93447,                0.98889,                      1,                  0.995,                0.91429,                0.43787,                0.41523,                0.85071,               0.001604,               0.001604,               0.001604
                     23,                 0.5171,                0.49416,                0.90399,                0.99183,                      1,                  0.995,                0.90442,                0.42805,                0.45606,                0.84766,              0.0015842,              0.0015842,              0.0015842
                     24,                0.47823,                0.47993,                0.89237,                0.98453,                      1,                  0.995,                0.92577,                0.43615,                0.42633,                0.84609,              0.0015644,              0.0015644,              0.0015644
                     25,                0.46465,                0.43298,                0.88548,                0.99241,                      1,                  0.995,                 0.9114,                0.45265,                0.39809,                0.85434,              0.0015446,              0.0015446,              0.0015446
                     26,                0.47281,                0.44765,                0.90284,                0.99646,                      1,                  0.995,                0.93276,                0.39468,                0.35064,                0.83069,              0.0015248,              0.0015248,              0.0015248
                     27,                0.47501,                 0.4306,                0.90846,                0.99542,                      1,                  0.995,                0.93499,                0.39889,                0.34321,                0.82932,               0.001505,               0.001505,               0.001505
                     28,                0.51653,                0.47207,                0.92008,                 0.9923,                      1,                  0.995,                0.91809,                 0.4701,                0.40712,                0.85797,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.4676,                0.41935,                0.89392,                0.98846,                      1,                  0.995,                0.91309,                0.44003,                0.35624,                0.86212,              0.0014654,              0.0014654,              0.0014654
                     30,                0.46217,                0.42012,                0.90284,                0.99297,                      1,                  0.995,                0.92192,                0.43595,                0.36857,                 0.8507,              0.0014456,              0.0014456,              0.0014456
                     31,                0.47644,                0.41947,                 0.8968,                0.99342,                      1,                  0.995,                0.93701,                0.41068,                0.31066,                0.83491,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.4061,                0.41367,                 0.8339,                0.99433,                      1,                  0.995,                0.93673,                0.35543,                0.31975,                0.83147,               0.001406,               0.001406,               0.001406
                     33,                0.43533,                0.39661,                0.88353,                0.99716,                      1,                  0.995,                0.92386,                0.39253,                0.31124,                0.83372,              0.0013862,              0.0013862,              0.0013862
                     34,                0.43372,                0.38253,                0.87087,                0.99579,                      1,                  0.995,                0.94339,                0.41753,                 0.3151,                0.84044,              0.0013664,              0.0013664,              0.0013664
                     35,                0.42052,                0.37244,                0.88473,                0.99666,                      1,                  0.995,                0.93491,                0.41662,                0.32387,                0.84791,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.4373,                0.38459,                0.88037,                0.99646,                      1,                  0.995,                0.93031,                0.42606,                0.32444,                0.83621,              0.0013268,              0.0013268,              0.0013268
                     37,                0.42956,                0.37128,                0.90609,                 0.9968,                      1,                  0.995,                0.93113,                0.40039,                0.29252,                0.83167,               0.001307,               0.001307,               0.001307
                     38,                0.42209,                0.39182,                0.89267,                0.99626,                      1,                  0.995,                0.91545,                0.40681,                 0.2984,                0.83331,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.4764,                0.44608,                0.92331,                0.99697,                      1,                  0.995,                0.90056,                0.49229,                0.31967,                 0.8657,              0.0012674,              0.0012674,              0.0012674
                     40,                0.44098,                0.38689,                0.86961,                0.99724,                      1,                  0.995,                0.93022,                0.40048,                0.32085,                 0.8293,              0.0012476,              0.0012476,              0.0012476
                     41,                0.42055,                0.36793,                0.87916,                0.99731,                      1,                  0.995,                0.93217,                0.41611,                0.30556,                0.84231,              0.0012278,              0.0012278,              0.0012278
