                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0624,                 1.2792,                 1.1545,                0.95646,                0.92859,                0.98476,                0.72504,                 1.0012,                0.73082,                 1.1163,              0.0006656,              0.0006656,              0.0006656
                      2,                0.99984,                0.77608,                 1.1326,                0.95677,                0.96484,                0.99162,                0.75451,                0.91336,                 0.5219,                 1.0723,              0.0013059,              0.0013059,              0.0013059
                      3,                0.97517,                0.68179,                  1.123,                0.96672,                0.96169,                0.99046,                0.73667,                0.98038,                0.53315,                 1.0989,              0.0019198,              0.0019198,              0.0019198
                      4,                0.95665,                0.65327,                  1.119,                0.97557,                0.93923,                0.98926,                0.74963,                0.91011,                0.49372,                 1.0731,              0.0018812,              0.0018812,              0.0018812
                      5,                0.91373,                0.60536,                 1.0934,                0.95195,                0.98018,                0.99213,                0.74919,                0.92489,                0.46616,                 1.0795,              0.0018812,              0.0018812,              0.0018812
                      6,                0.88553,                0.57265,                 1.0818,                0.98258,                0.96847,                0.99309,                0.76698,                0.87043,                0.43788,                 1.0568,              0.0018416,              0.0018416,              0.0018416
                      7,                0.87134,                  0.553,                 1.0746,                 0.9785,                0.96202,                0.99147,                0.76836,                0.87148,                0.43078,                 1.0589,               0.001802,               0.001802,               0.001802
                      8,                0.83642,                0.52234,                 1.0571,                0.96969,                0.97886,                0.99332,                0.77851,                0.86478,                0.40225,                 1.0515,              0.0017624,              0.0017624,              0.0017624
                      9,                0.81998,                0.50823,                 1.0467,                0.98216,                0.97886,                0.99415,                0.78167,                0.84213,                0.39706,                 1.0372,              0.0017228,              0.0017228,              0.0017228
                     10,                0.80547,                0.49658,                 1.0393,                0.96118,                0.98136,                0.99306,                 0.7807,                0.84376,                0.39224,                 1.0436,              0.0016832,              0.0016832,              0.0016832
                     11,                0.79065,                0.47857,                 1.0301,                0.97833,                0.97358,                0.99349,                0.78162,                0.82619,                0.39591,                 1.0259,              0.0016436,              0.0016436,              0.0016436
                     12,                0.77334,                0.46934,                 1.0238,                0.97126,                0.98218,                0.99346,                 0.7873,                0.82881,                0.36909,                 1.0299,               0.001604,               0.001604,               0.001604
